suburb,postcode,pri_breed,pri_colour,de_sexed,yrmonth
SPRINGVALE SOUTH,3172,Pomeranian X,Cream,N,2014-12
KEYSBOROUGH,3173,Miniature Poodle,White,N,2012-08
KEYSBOROUGH,3173,Beagle,Tri Coloured,N,2005-04
KEYSBOROUGH,3173,Domestic,Unknown,Y,2015-01
KEYSBOROUGH,3173,Chow Chow,Gold,Y,2012-06
KEYSBOROUGH,3173,Labrador,Black,Y,2004-03
KEYSBOROUGH,3173,Labrador X,Yellow,Y,2006-05
KEYSBOROUGH,3173,Jack Russell Terrier X,Tri Coloured,Y,2014-02
KEYSBOROUGH,3173,British Bulldog,White & Tan,N,2009-02
KEYSBOROUGH,3173,Maltese X,White,N,2009-05
KEYSBOROUGH,3173,Golden Retriever,Gold,Y,2013-09
KEYSBOROUGH,3173,Chow Chow,Black,N,2013-04
NOBLE PARK,3174,Golden Retriever,Gold,Y,2015-04
NOBLE PARK,3174,Kelpie X,Black,Y,2005-04
NOBLE PARK,3174,Rhodesian Ridgeback  X,Tan & White,Y,2013-01
NOBLE PARK,3174,Staffordshire Bull Terrier X,Brindle,N,2007-08
NOBLE PARK,3174,British Bulldog,Brindle,Y,2008-10
NOBLE PARK,3174,Maltese X,White,Y,2003-08
NOBLE PARK,3174,German Shepherd,Black,Y,2011-11
NOBLE PARK,3174,Australian Bulldog,Brindle & White,N,2004-01
NOBLE PARK,3174,Poodle,Apricot,Y,2013-02
NOBLE PARK,3174,Fox Terrier X,Black & White,N,2007-01
NOBLE PARK,3174,Jack Russell Terrier,White & Tan,Y,2012-02
SPRINGVALE,3171,Maltese X,Tan,N,2007-10
SPRINGVALE,3171,Maltese X,Tan,N,2007-10
DANDENONG NORTH,3175,Blue Heeler,Tri Coloured,N,2009-07
DANDENONG NORTH,3175,Blue Heeler,Black & White,N,2005-03
DANDENONG NORTH,3175,Border Collie,Black,Y,2003-03
DANDENONG NORTH,3175,Staffordshire Bull Terrier X,Brindle & White,Y,2010-06
DANDENONG NORTH,3175,Staffordshire Bull Terrier X,Brown,N,2007-10
DANDENONG NORTH,3175,Kelpie X,Tan & Black,Y,2002-03
DANDENONG NORTH,3175,Jack Russell Terrier X,Brindle & White,Y,2011-03
DANDENONG NORTH,3175,Maltese X,White,Y,2005-03
DANDENONG NORTH,3175,Blue Heeler,Merle,N,2013-08
DANDENONG NORTH,3175,Staffordshire Bull Terrier X,White & Black,Y,2013-06
NOBLE PARK,3174,Cavalier King Charles Spaniel,Blenheim,Y,2009-06
NOBLE PARK,3174,Poodle X,Tan,Y,2008-08
NOBLE PARK,3174,Jack Russell Terrier X,White & Tan,Y,2008-11
NOBLE PARK,3174,Beagle X,Tri Coloured,Y,2008-10
DANDENONG SOUTH,3175,Maltese X,White & Black,Y,2014-05
KEYSBOROUGH,3173,Border Collie X,Black,Y,2008-10
KEYSBOROUGH,3173,English Staffordshire Bull Terrier X,Tan,Y,2011-07
KEYSBOROUGH,3173,Maltese X,Grey,Y,2012-02
NOBLE PARK,3174,Wire Haired Terrier X,Tan & White,Y,2002-08
NOBLE PARK,3174,Beagle,Tri Coloured,Y,2008-11
DANDENONG NORTH,3175,Labrador X,Tan,Y,2011-02
DANDENONG NORTH,3175,Pomeranian,Tan,Y,1998-12
DANDENONG,3175,Beagle,White & Brown,N,2009-09
NOBLE PARK,3174,Staffordshire Bull Terrier X,Tan,N,2010-07
NOBLE PARK,3174,Staffordshire Bull Terrier,Red,N,2010-07
